state,fips,county_name,premature_death,poor_or_fair_health,poor_physical_health_days,poor_mental_health_days,low_birthweight,adult_smoking,adult_obesity,food_environment_index,physical_inactivity,access_to_exercise_opportunities,excessive_drinking,alcohol_impaired_driving_deaths,sexually_transmitted_infections,teen_births,uninsured_adults,primary_care_physicians,ratio_of_population_to_primary_care_physicians,dentists,ratio_of_population_to_dentists,mental_health_providers,ratio_of_population_to_mental_health_providers,preventable_hospital_stays,mammography_screening,flu_vaccinations,high_school_completion,some_college,unemployment,children_in_poverty,income_inequality,children_in_single_parent_households,social_associations,violent_crime,injury_deaths,air_pollution_particulate_matter,drinking_water_violations,severe_housing_problems,percentage_of_households_with_high_housing_costs,percentage_of_households_with_overcrowding,driving_alone_to_work,long_commute_driving_alone,life_expectancy,premature_age_adjusted_mortality,child_mortality,infant_mortality,frequent_physical_distress,frequent_mental_distress,diabetes_prevalence,hiv_prevalence,food_insecurity,limited_access_to_healthy_foods,drug_overdose_deaths,motor_vehicle_crash_deaths,insufficient_sleep,uninsured_children,other_primary_care_providers,ratio_of_population_to_primary_care_providers_other_than_physicians,high_school_graduation,disconnected_youth,reading_scores,math_scores,median_household_income,children_eligible_for_free_or_reduced_price_lunch,residential_segregation_black_white,residential_segregation_non_white_white,homicides,suicides,firearm_fatalities,juvenile_arrests,number_of_juvenile_delinquency_cases_formally_processed_by_a_juvenile_court,number_of_informally_handled_juvenile_delinquency_cases,traffic_volume,homeownership,severe_housing_cost_burden,broadband_access,population,percent_below_18_years_of_age,percent_65_and_older,percent_non_hispanic_black,percent_american_indian_alaska_native,percent_asian,percent_native_hawaiian_other_pacific_islander,percent_hispanic,percent_non_hispanic_white,percent_not_proficient_in_english,percent_females,percent_rural,rucc_2013,metro
AL,01001,Autauga County,7830.0534837,0.1983917887,4.501498764,4.8502135182,0.0920177384,0.1981076587,0.33,6.7,0.306,0.6913012406,0.1447388631,0.3333333333,504.5,23.764040651,0.1300796103,4.676175e-4,2138.5,3.400813e-4,2940.4736842,2.863842e-4,3491.8125,6650,0.39,0.42,0.8851660556,0.6049993037,0.0272810637,0.159,5.0904084014,0.2474062855,12.229995863,272.28222006,68.410042594,10.4,0,0.1363096652,0.1203259827,0.0111612444,0.8578851228,0.383,77.162581316,409.18586414,56.667925954,7.3411332875,0.1325295812,0.1580923066,0.127,230.2,0.156,0.11991125,8.3845389102,19.82604576,0.3844333214,0.0254712175,4.116773e-4,2429.0869565,0.89,NA,3.12696818,2.91727955,58233,0.4749285243,24.791238544,24.192062119,5.407103389,18.483524954,16.562431365,NA,68,-888,155.09552349,0.7329064822,0.1337588929,0.8056736926,55869,0.2320607135,0.1597307988,0.1986432548,0.0047611377,0.011741753,0.0010381428,0.029909252,0.7377078523,0.0080325135,0.5150799191,0.4200216232,2,1
AL,01003,Baldwin County,7680.4772697,0.1646067529,3.6479777573,4.7682935308,0.0829200929,0.1851331826,0.3,7.8,0.247,0.7371354895,0.1873695763,0.2960893855,297.2,26.006904488,0.1675343756,7.01764e-4,1424.9803922,4.927565e-4,2029.4,9.85513e-4,1014.7,3471,0.43,0.46,0.9080615702,0.6710864674,0.0272583429,0.135,4.3851346284,0.2237227148,10.503527167,203.66039629,72.878640649,7.2,0,0.1299665069,0.1198750748,0.0101792868,0.8376010565,0.404,78.213404894,365.72463464,50.951997855,5.8099147458,0.1161164107,0.1475556542,0.103,169.3,0.129,0.054244266,12.5404506,17.238937835,0.3637796048,0.0377124754,6.45063e-4,1550.2361111,0.88,0.0647133016,3.192380762,3.037911538,59871,0.4001301639,42.496933177,31.840280134,3.0099732728,19.287661251,14.350620359,28.392857143,458,178,133.60484222,0.7524527369,0.1117404539,0.8181638453,223234,0.2130231058,0.2097798722,0.0860755978,0.0078034708,0.0106614584,6.898591e-4,0.0471881523,0.8320730713,0.0070845825,0.5150962667,0.4227909911,3,1
AL,01005,Barbour County,11476.629416,0.2984149992,5.5692666827,5.5904935124,0.1135531136,0.2553076754,0.412,5.5,0.28,0.5316676986,0.1246697372,0.3939393939,755.8,37.114261885,0.1767323062,3.215305e-4,3110.125,3.645791e-4,2742.8888889,1.215264e-4,8228.6666667,5314,0.44,0.39,0.73213092849999994,0.3561377246,0.0379524423,0.41,5.9819927971,0.5100810251,7.6363490213,414.27786068,76.988946587,9.4,0,0.1371055495,0.1259425999,0.0195865071,0.8211638926,0.309,74.05474119,552.97739474,76.157837117,NA,0.181321046,0.1895469464,0.175,471,0.219,0.1073966657,NA,26.482174187,0.408895893,0.0342987805,5.671231e-4,1763.2857143,0.8206896552,NA,2.389161313,2.00862944,35972,0.6076999668,19.722575601,19.814478715,10.482527282,11.325917846,21.211240386,NA,14,-888,102.45967278,0.608988764,0.1427071179,0.6052434457,24686,0.2058656729,0.1969132302,0.4782872883,0.0068864944,0.0046990197,0.0021064571,0.0452483189,0.4551162602,0.0189072131,0.4707931621,0.677896347,6,0
AL,01007,Bibb County,12172.562382,0.2385328355,4.8943765041,5.2711142294,0.1022099448,0.2308481254,0.374,7.6,0.334,0.1625136374,0.1542060328,0.2962962963,613.2,37.786445636,0.1342990425,5.357143e-4,1866.6666667,2.232741e-4,4478.8,2.679289e-4,3732.3333333,6690,0.33,0.4,0.7905739733,0.401390236,0.0306275187,0.259,5.0026083348,0.3061491496,8.4821428571,89.349125982,105.60130626,10,0,0.0925524223,0.0826373626,0.0056399132,0.8705767112,0.52,73.408783662,594.69357848,102.62504051,13.180515759,0.1506592018,0.1714179321,0.136,235,0.151,0.0260162701,22.234739557,27.265925203,0.4011005848,0.0287183883,0.0012056801,829.40740741,0.88,NA,2.688775131,2.56336673,47918,0.631025958,39.735213583,39.653637179,10.14546054,16.955832674,20.410336504,NA,76,-888,26.588748145,0.744159048,0.0874442908,0.69206211,22394,0.2034920068,0.1666964365,0.2107260873,0.0045994463,0.0021434313,0.0011610253,0.0278199518,0.7440832366,0.0033525357,0.467312673,0.6835260746,1,1
AL,01009,Blount County,11096.050649,0.2198560956,4.9866219497,5.3578091017,0.074305406,0.2295495894,0.33,7.9,0.333,0.1563448589,0.158332838,0.1829268293,303.4,31.23977756,0.1793470232,2.074689e-4,4820,1.902258e-4,5256.9090909,1.729326e-4,5782.6,4440,0.37,0.4,0.8049056319,0.5575095731,0.0266866685,0.21,4.4278379129,0.2245737362,7.7800829876,482.69061089,107.59160855,10.6,0,0.1012566457,0.0746885899,0.0181246979,0.8751959428,0.579,74.370873779,519.98096195,82.127858143,6.2459616627,0.1481247144,0.1712957021,0.146,90.9,0.136,0.0288014982,21.879444262,28.666961574,0.3884710906,0.0447031767,2.421056e-4,4130.4285714,0.9292558747,0.1756198347,2.901714404,2.781496533,52902,0.5043696745,42.762910955,22.045169536,6.9196114144,20.022097657,21.449130964,11.26984127,50,21,43.309561964,0.7877872116,0.0780480296,0.7300810668,57826,0.2292221492,0.1870093038,0.0150797219,0.0063985059,0.0031992529,0.0011586484,0.0965309722,0.867706568,0.0161846301,0.5076263273,0.8995150204,1,1
AL,01011,Bullock County,10801.612789,0.3144493189,5.5134424871,5.3948002615,0.1542792793,0.2490571295,0.466,5,0.424,0.0250137438,0.1174553146,0.5454545455,1222.2,45.50209205,0.1578512397,2.959164e-4,3379.3333333,1.980002e-4,5050.5,2.970003e-4,3367,5645,0.32,0.29,0.7467962259,0.3216572505,0.0363221254,0.399,5.6306486443,0.7366682397,7.8911027816,311.0273327,98.82571794,9.2,0,0.2029972752,0.188466948,0.0010899183,0.8094466312,0.473,74.44035871,522.88489025,NA,NA,0.1787151997,0.1815980554,0.295,560.1,0.205,0.1974335074,NA,47.939295155,0.4465271376,0.0257370145,7.920008e-4,1262.625,0.875,NA,2.110535605,1.96826778,31906,0.7607788595,38.311161301,36.167373555,13.696941473,NA,25.190869279,NA,20,-888,40.415459174,0.7111616018,0.1611253197,0.6009656348,10101,0.2084942085,0.1693891694,0.6908226908,0.0083160083,0.0020790021,0.0076230076,0.0855360855,0.20997921,0.0064908304,0.4547074547,0.5137438153,6,0
AL,01013,Butler County,12847.757829,0.2788672095,5.3876104505,5.7180745884,0.1230863442,0.2282680655,0.468,6.8,0.403,0.4857974889,0.1255623275,0.3076923077,933.2,36.930455635,0.1532157492,2.54065e-4,3936,3.08515e-4,3241.3333333,5.656109e-4,1768,8070,0.39,0.35,0.8504956943,0.4030402629,0.0364892583,0.346,5.0108316284,0.4132435466,9.6544715447,581.58400519,98.885020937,8.9,1,0.1184397163,0.1051094891,0.0163120567,0.8604859335,0.306,74.153846183,567.58206262,89.520505791,NA,0.169435374,0.185264872,0.195,344.4,0.191,0.0292612193,NA,34.367705812,0.4197116999,0.0290697674,7.198684e-4,1389.1428571,0.83,NA,2.526134007,2.118341767,39944,0.7074626866,34.62673285,34.294185138,17.183852906,9.8639329377,21.189647344,8,16,0,58.023786999,0.6995081463,0.1056138597,0.6458653551,19448,0.2197655286,0.2081962155,0.4463183875,0.003959276,0.0143459482,4.113534e-4,0.0148601399,0.510952283,0.0016060817,0.5359934183,0.7123215735,6,0
AL,01015,Calhoun County,11326.677257,0.2366105737,4.8950277497,5.683091019,0.0939432715,0.2123431781,0.397,6.6,0.311,0.477212158,0.137202635,0.1509433962,595.3,32.317142966,0.1409068025,6.387987e-4,1565.4383562,6.777871e-4,1475.3896104,0.0012235377,817.30215827,5879,0.33,0.4,0.8443267432,0.5883842764,0.0353827177,0.246,4.8434110137,0.3031992244,14.263587599,756.06654427,91.99760492,10.8,0,0.1259423503,0.1065675341,0.016075388,0.8437519859,0.309,73.45688939,557.32769545,69.565568068,8.2681071547,0.1524486802,0.1782282994,0.17,261.3,0.174,0.0917856658,19.847640174,20.980939623,0.3826870475,0.0285129175,6.425774e-4,1556.2328767,0.9118383405,0.0636833046,2.945480411,2.786958409,47747,0.5865944326,44.398093772,40.833836096,10.055953311,20.430992418,27.058119094,35,232,174,170.81422572,0.7006837798,0.1051891436,0.7514628405,113605,0.2154218564,0.1808635183,0.209981955,0.0053254698,0.0090136878,0.0011179085,0.0406144096,0.7170811144,0.0088417739,0.52043484,0.3369682556,3,1
AL,01017,Chambers County,10371.422676,0.2507392337,5.0273498783,5.4699221658,0.1266836549,0.2321615642,0.423,6.7,0.287,0.6186467923,0.1367048649,0.2972972973,711.9,42.288174689,0.1465144352,4.164807e-4,2401.0714286,1.804294e-4,5542.3333333,3.00716e-5,33254,5784,0.36,0.43,0.8162175796,0.4979909593,0.0293370587,0.304,4.7985125858,0.3408351026,18.146660717,528.99973623,91.368630894,10.2,0,0.1485943775,0.113986537,0.0327856882,0.8621145681,0.296,75.022109614,492.79647864,85.094312863,7.7748981859,0.1579391203,0.1756663479,0.184,398.9,0.164,0.1032855828,10.93635044,21.538435549,0.4051051084,0.0274586719,1.503579e-4,6650.8,0.8068608414,0.1363316936,2.634106621,2.497681651,42015,0.7044742729,25.540351234,24.418326695,11.825023439,23.607251447,24.918717517,32.258064516,100,0,114.66751279,0.6745984533,0.1185798817,0.6942296252,33254,0.2078847657,0.2019305948,0.3978769471,0.0032778012,0.0112467673,4.510736e-4,0.0261923378,0.5512419559,0.003194484,0.5220123895,0.4914803449,6,0
AL,01019,Cherokee County,11736.51381,0.2288776803,4.9099552246,5.5674130978,0.0849514563,0.2355969744,0.384,7.7,0.304,0.3342952788,0.1594083244,0.22,386.7,32.679738562,0.1676007473,3.841426e-4,2603.2,1.526951e-4,6549,2.290426e-4,4366,5178,0.35,0.5,0.8157253364,0.4800596347,0.0291278869,0.233,4.8313336012,0.2106768351,8.4511370621,330.43879198,105.65362577,10.3,0,0.116720704,0.0999057493,0.0157480315,0.8207805373,0.458,74.47838936,533.57958146,74.500844343,NA,0.1556881762,0.1807841566,0.157,115.1,0.156,0.002211124,16.648524044,35.73215179,0.3786397167,0.036179173,8.016491e-4,1247.4285714,0.94,NA,2.784754319,2.646747671,45982,0.6245551601,36.501258724,34.981759935,8.2458811823,23.268366995,27.762996553,22.5,49,5,1.0239642567,0.7734003912,0.0823883593,0.7072739126,26196,0.1888456253,0.2353030997,0.0408077569,0.0069094518,0.003931898,3.053901e-4,0.0171400214,0.9167048404,0.0044505583,0.5065658879,0.8573627304,6,0
